employeeTestVariantId;employeeTestBlockId;title;position
1;1;Существует ли порядок проведения промежуточной аттестации;1
1;1;Все ли сотрудники дирекции и профессорско-преподавательского состава (ППС) знают и соблюдают требования порядка проведения промежуточной аттестации ;2
1;2;Существуют ли основные принципы организации рейтинговой системы и порядок формирования рейтинговой оценки по дисциплине;3
1;2;Все ли сотрудники дирекции и ППС знают и соблюдают порядок формирования рейтинговой оценки по дисциплине;4
1;2;Преподаватели ответственно относятся при выставлении рейтинговых оценок в период;5
1;2;Студенты серьезно относятся к результатам аттестации в период;6
1;2;Результаты аттестации выставляются в систему;7
1;3;Существует ли порядок внедрения электронного обучения, дистанционных образовательных технологий (ДОТ) в учебный процесс;8
1;3;Все ли сотрудники дирекции и ППС знают и соблюдают порядок внедрения электронного обучения, ДОТ в учебный процесс;9
1;3;Все ли сотрудники ППС в рамках дистанционного обучения знают и применяют сетевые платформы (LMS), такие как Moodle, Itslearning и др.;10
1;3;Все ли сотрудники ППС в рамках дистанционного обучения знают и применяют сервисы для онлайн конференций, таких как Zoom, Discord и др.;11
1;4;Существуют ли формы и условия организации контактной работы обучающихся с преподавателем;12
1;4;Все ли сотрудники ППС знают о формах и соблюдают условия организации контактной работы обучающихся с преподавателем ;13
1;5;Проверка зачетных книжек студентов проводится;14
1;5;Проверка сводных ведомостей групп проводится;15
1;6;Подготовка отчетов по успеваемости студентов проводится;16
1;6;Предоставление отчетов в дирекцию заведующими кафедрами происходит;17
1;7;Заключение графиков ликвидации задолженностей в семестр происходит;18
1;7;Вызов студентов в дирекцию по вопросам успеваемости и посещаемости происходит;19
1;7;Кураторы проводят встречи со студентами групп ;20
1;7;Встреча сотрудников дирекции со старостами групп проходит;21
1;7;Собрание со старостами групп 1 курса в течении первого года проводится;22
1;7;Вызов старост индивидуально по каждой группе производится;23
1;8;Оповещение студентов о проведении мероприятий происходит;24
1;8;Оповещение студентов о проведении приказов по движению (отчисление, академический отпуск и т.д.) происходит;25
1;8;Информация на стендах обновляется;26
1;9;Обсуждение результатов успеваемости студентов с заведующими кафедрами происходит;27
1;9;Обсуждение результатов успеваемости студентов с кураторами происходит;28
1;9;Сбор объяснительных со студентов за нарушение дисциплины (пропуски занятий без уважительной причины) происходит;29
1;9;Обсуждение результатов аттестаций с преподавателями, имеющих большое количество задолженностей происходит;30
2;10;Существует ли порядок предоставления академического отпуска, отпуска по беременности и родам, отпуска по уходу за ребёнком;1
2;10;Все ли сотрудники дирекции и студенты знают и соблюдают требования порядка предоставления академического и других видов отпусков;2
2;10;Существует ли порядок выхода из академического отпуска, отпуска по беременности и родам, отпуска по уходу за ребёнком ;3
2;10;Все ли сотрудники дирекциии и студенты знают и соблюдают требования порядка выхода из академического и других видов отпусков;4
2;10;Существуют ли формы заявлений для предоставления/выхода из академического и других отпусков;5
2;11;Существует ли порядок перевода в СибГУ им. М.Ф. Решетнева;6
2;11;Все ли сотрудники дирекции и студенты знают и соблюдают требования порядка перевода в СибГУ им. М.Ф.Решетнева;7
